overall_pick,player,position,raw_model_v4_score,confidence_cap,final_review_score,component_weight_available,guardrail_states,position_format_factor,expected_uncapped_format_score,sprint14e_format_score,sprint14e_evidence_state,final_score_rank,recomputed_sprint14e_rank,frozen_rank,refresh_candidate_rank,candidate_rank_shift,classification,finding
71,Antonio Williams,WR,63.582,0.88,55.9522,0.83,none,1.0,46.4403,46.4403,executed_sprint14e,18,17,17,18,1,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
75,Caleb Douglas,WR,61.5712,0.88,54.1827,0.83,none,1.0,44.9716,44.9716,executed_sprint14e,20,18,18,19,1,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
32,Jadarian Price,RB,61.4117,0.88,54.0423,0.83,none,1.0,44.8551,44.8551,executed_sprint14e,21,19,19,20,1,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
16,Kenyon Sadiq,TE,62.0,0.88,54.56,0.95,no_premium_te_cap_warning:first_round_te_no_premium_cap,0.82,42.5022,42.5022,executed_sprint14e,19,20,20,21,1,POSITION_FORMAT_RULE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
237,Seth McGowan,RB,58.0,0.88,51.04,0.83,draft_capital_anchor_warning:day_three_skepticism_cap,1.0,42.3632,42.3632,executed_sprint14e,24,21,21,22,1,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
122,Mike Washington Jr.,RB,58.0,0.88,51.04,0.83,draft_capital_anchor_warning:day_three_skepticism_cap,1.0,42.3632,42.3632,executed_sprint14e,25,22,22,24,2,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
177,Kevin Coleman Jr.,WR,58.0,0.88,51.04,0.83,draft_capital_anchor_warning:day_three_skepticism_cap,1.0,42.3632,42.3632,executed_sprint14e,26,23,23,25,2,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
187,Kaytron Allen,RB,58.0,0.88,51.04,0.83,draft_capital_anchor_warning:day_three_skepticism_cap,1.0,42.3632,42.3632,executed_sprint14e,27,24,24,26,2,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
115,Elijah Sarratt,WR,58.0,0.88,51.04,0.83,draft_capital_anchor_warning:day_three_skepticism_cap,1.0,42.3632,42.3632,executed_sprint14e,28,25,25,27,2,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
198,Demond Claiborne,RB,58.0,0.88,51.04,0.83,draft_capital_anchor_warning:day_three_skepticism_cap,1.0,42.3632,42.3632,executed_sprint14e,30,26,26,28,2,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
105,Brenen Thompson,WR,58.0,0.88,51.04,0.83,draft_capital_anchor_warning:day_three_skepticism_cap,1.0,42.3632,42.3632,executed_sprint14e,32,27,27,29,2,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
174,Adam Randall,RB,58.0,0.88,51.04,0.83,draft_capital_anchor_warning:day_three_skepticism_cap,1.0,42.3632,42.3632,executed_sprint14e,33,28,28,30,2,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
197,CJ Daniels,WR,57.5587,0.88,50.6517,0.83,draft_capital_anchor_warning:day_three_skepticism_cap,1.0,42.0409,42.0409,executed_sprint14e,34,29,29,31,2,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
1,Fernando Mendoza,QB,92.4608,0.88,81.3655,0.83,none,0.62,41.8707,41.8707,executed_sprint14e,1,30,30,32,2,POSITION_FORMAT_RULE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
80,Ja'Kobi Lane,WR,56.6793,0.88,49.8778,0.83,none,1.0,41.3986,41.3986,executed_sprint14e,35,31,31,33,2,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
191,Josh Cameron,WR,55.6863,0.88,49.0039,0.83,draft_capital_anchor_warning:day_three_skepticism_cap,1.0,40.6732,40.6732,executed_sprint14e,43,32,32,34,2,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
89,Zavion Thomas,WR,55.5888,0.88,48.9181,0.83,none,1.0,40.602,40.602,executed_sprint14e,44,33,33,35,2,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
204,Lewis Bond,WR,58.0,0.84,48.72,0.83,draft_capital_anchor_warning:day_three_skepticism_cap,1.0,40.4376,40.4376,executed_sprint14e,45,34,34,36,2,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
176,Cyrus Allen,WR,58.0,0.84,48.72,0.83,draft_capital_anchor_warning:day_three_skepticism_cap,1.0,40.4376,40.4376,executed_sprint14e,46,35,35,37,2,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
136,Bryce Lance,WR,58.0,0.84,48.72,0.83,draft_capital_anchor_warning:day_three_skepticism_cap,1.0,40.4376,40.4376,executed_sprint14e,48,36,36,38,2,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
203,CJ Williams,WR,57.8845,0.84,48.623,0.83,draft_capital_anchor_warning:day_three_skepticism_cap,1.0,40.3571,40.3571,executed_sprint14e,50,37,37,39,2,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
90,Kaelon Black,RB,57.8049,0.84,48.5561,0.83,none,1.0,40.3016,40.3016,executed_sprint14e,51,38,38,40,2,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
218,Anthony Smith,WR,56.0935,0.84,47.1185,0.83,draft_capital_anchor_warning:day_three_skepticism_cap,1.0,39.1084,39.1084,executed_sprint14e,56,39,39,41,2,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
164,Tanner Koziol,TE,56.0,0.88,49.28,0.95,model_edge_weirdness:day_three_exceptional_profile|no_premium_te_cap_warning:non_first_round_te_cap,0.82,38.3891,38.3891,executed_sprint14e,36,40,40,42,2,POSITION_FORMAT_RULE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
69,Sam Roush,TE,56.0,0.88,49.28,0.95,no_premium_te_cap_warning:non_first_round_te_cap,0.82,38.3891,38.3891,executed_sprint14e,37,41,41,43,2,POSITION_FORMAT_RULE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
61,Max Klare,TE,56.0,0.88,49.28,0.95,no_premium_te_cap_warning:non_first_round_te_cap,0.82,38.3891,38.3891,executed_sprint14e,38,42,42,44,2,POSITION_FORMAT_RULE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
152,Justin Joly,TE,56.0,0.88,49.28,0.95,draft_capital_anchor_warning:day_three_skepticism_cap|no_premium_te_cap_warning:non_first_round_te_cap,0.82,38.3891,38.3891,executed_sprint14e,39,43,43,45,2,POSITION_FORMAT_RULE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
173,Josh Cuevas,TE,56.0,0.88,49.28,0.95,draft_capital_anchor_warning:day_three_skepticism_cap|no_premium_te_cap_warning:non_first_round_te_cap,0.82,38.3891,38.3891,executed_sprint14e,40,44,44,46,2,POSITION_FORMAT_RULE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
54,Eli Stowers,TE,56.0,0.88,49.28,0.95,no_premium_te_cap_warning:non_first_round_te_cap,0.82,38.3891,38.3891,executed_sprint14e,41,45,45,48,3,POSITION_FORMAT_RULE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
95,Eli Raridon,TE,56.0,0.88,49.28,0.95,no_premium_te_cap_warning:non_first_round_te_cap,0.82,38.3891,38.3891,executed_sprint14e,42,46,46,49,3,POSITION_FORMAT_RULE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
143,Reggie Virgil,WR,54.199,0.84,45.5272,0.83,none,1.0,37.7876,37.7876,executed_sprint14e,58,47,47,50,3,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
59,Marlin Klein,TE,55.0147,0.88,48.4129,0.95,no_premium_te_cap_warning:non_first_round_te_cap,0.82,37.7136,37.7136,executed_sprint14e,52,48,48,51,3,POSITION_FORMAT_RULE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
256,Dallen Bentley,TE,54.0562,0.88,47.5695,0.95,draft_capital_anchor_warning:day_three_skepticism_cap|no_premium_te_cap_warning:non_first_round_te_cap,0.82,37.0566,37.0566,executed_sprint14e,54,49,49,52,3,POSITION_FORMAT_RULE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
221,Jack Endries,TE,53.7128,0.88,47.2673,0.95,draft_capital_anchor_warning:day_three_skepticism_cap|no_premium_te_cap_warning:non_first_round_te_cap,0.82,36.8212,36.8212,executed_sprint14e,55,50,50,53,3,POSITION_FORMAT_RULE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
199,Emmanuel Henderson Jr.,WR,52.781,0.84,44.336,0.83,draft_capital_anchor_warning:day_three_skepticism_cap,1.0,36.7989,36.7989,executed_sprint14e,61,51,51,54,3,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
168,Kendrick Law,WR,52.5015,0.84,44.1013,0.83,draft_capital_anchor_warning:day_three_skepticism_cap,1.0,36.6041,36.6041,executed_sprint14e,63,52,52,55,3,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
190,Barion Brown,WR,49.8165,0.88,43.8385,0.83,draft_capital_anchor_warning:day_three_skepticism_cap,1.0,36.386,36.386,executed_sprint14e,64,53,53,56,3,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
133,Matthew Hibner,TE,50.7722,0.88,44.6795,0.95,no_premium_te_cap_warning:non_first_round_te_cap,0.82,34.8053,34.8053,executed_sprint14e,60,54,54,58,4,POSITION_FORMAT_RULE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
185,Bauer Sharp,TE,50.1997,0.88,44.1757,0.95,no_premium_te_cap_warning:non_first_round_te_cap,0.82,34.4129,34.4129,executed_sprint14e,62,55,55,59,4,POSITION_FORMAT_RULE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
225,Jaren Kanak,TE,49.4648,0.88,43.529,0.95,draft_capital_anchor_warning:day_three_skepticism_cap|no_premium_te_cap_warning:non_first_round_te_cap,0.82,33.9091,33.9091,executed_sprint14e,65,56,56,61,5,POSITION_FORMAT_RULE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
56,Nate Boerkircher,TE,49.163,0.88,43.2634,0.95,no_premium_te_cap_warning:non_first_round_te_cap,0.82,33.7022,33.7022,executed_sprint14e,66,57,57,62,5,POSITION_FORMAT_RULE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
180,Seydou Traore,TE,56.0,0.84,47.04,0.83,draft_capital_anchor_warning:day_three_skepticism_cap|no_premium_te_cap_warning:non_first_round_te_cap,0.82,32.0154,32.0154,executed_sprint14e,57,58,58,63,5,POSITION_FORMAT_RULE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
169,Riley Nowakowski,TE,45.0113,0.88,39.6099,0.95,no_premium_te_cap_warning:non_first_round_te_cap,0.82,30.8561,30.8561,executed_sprint14e,68,59,59,64,5,POSITION_FORMAT_RULE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
195,Malik Benson,WR,42.2463,0.84,35.4869,0.83,draft_capital_anchor_warning:day_three_skepticism_cap,1.0,29.4541,29.4541,executed_sprint14e,69,60,60,66,6,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
245,Jam Miller,RB,41.0235,0.84,34.4597,0.83,draft_capital_anchor_warning:day_three_skepticism_cap,1.0,28.6016,28.6016,executed_sprint14e,71,61,61,67,6,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
248,Carsen Ryan,TE,49.0683,0.84,41.2174,0.83,draft_capital_anchor_warning:day_three_skepticism_cap|no_premium_te_cap_warning:non_first_round_te_cap,0.82,28.0526,28.0526,executed_sprint14e,67,62,62,68,6,POSITION_FORMAT_RULE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
13,Ty Simpson,QB,58.0,0.88,51.04,0.83,source_shape_warning:one_qb_qb_scarcity_cap,0.62,26.2652,26.2652,executed_sprint14e,22,63,63,69,6,POSITION_FORMAT_RULE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
182,Taylen Green,QB,58.0,0.88,51.04,0.83,model_edge_weirdness:day_three_exceptional_profile|source_shape_warning:one_qb_qb_scarcity_cap,0.62,26.2652,26.2652,executed_sprint14e,23,64,64,70,6,POSITION_FORMAT_RULE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
76,Drew Allar,QB,58.0,0.88,51.04,0.83,source_shape_warning:one_qb_qb_scarcity_cap,0.62,26.2652,26.2652,executed_sprint14e,29,65,65,71,6,POSITION_FORMAT_RULE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
110,Cade Klubnik,QB,58.0,0.88,51.04,0.83,draft_capital_anchor_warning:day_three_skepticism_cap|source_shape_warning:one_qb_qb_scarcity_cap,0.62,26.2652,26.2652,executed_sprint14e,31,66,66,73,7,POSITION_FORMAT_RULE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
178,Cole Payton,QB,58.0,0.84,48.72,0.83,model_edge_weirdness:day_three_exceptional_profile|source_shape_warning:one_qb_qb_scarcity_cap,0.62,25.0713,25.0713,executed_sprint14e,47,67,67,74,7,POSITION_FORMAT_RULE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
223,Athan Kaliakmanis,QB,58.0,0.84,48.72,0.83,draft_capital_anchor_warning:day_three_skepticism_cap|source_shape_warning:one_qb_qb_scarcity_cap,0.62,25.0713,25.0713,executed_sprint14e,49,68,68,75,7,POSITION_FORMAT_RULE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
121,Kaden Wetjen,WR,34.0511,0.88,29.965,0.83,none,1.0,24.8709,24.8709,executed_sprint14e,72,69,69,76,7,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
234,Behren Morton,QB,54.4327,0.88,47.9008,0.83,draft_capital_anchor_warning:day_three_skepticism_cap|source_shape_warning:one_qb_qb_scarcity_cap,0.62,24.6498,24.6498,executed_sprint14e,53,70,70,77,7,POSITION_FORMAT_RULE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
87,Will Kacmarek,TE,42.1575,0.84,35.4123,0.83,no_premium_te_cap_warning:non_first_round_te_cap,0.82,24.1016,24.1016,executed_sprint14e,70,71,71,78,7,POSITION_FORMAT_RULE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
249,Garrett Nussmeier,QB,50.7927,0.88,44.6976,0.83,draft_capital_anchor_warning:day_three_skepticism_cap|source_shape_warning:one_qb_qb_scarcity_cap,0.62,23.0014,23.0014,executed_sprint14e,59,72,72,79,7,POSITION_FORMAT_RULE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
159,Max Bredeson,TE,22.3524,0.84,18.776,0.83,no_premium_te_cap_warning:non_first_round_te_cap,0.82,12.7789,12.7789,executed_sprint14e,73,73,73,80,7,SCORE_AND_RANK_ALIGNED,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
