fixture_id,fixture_name,fixture_type,status,review_severity,players,missing_players,expected_behavior,actual_behavior,receipt_explanation,disagreement_classification,likely_cause,next_action
wr_chase_jefferson_core_005,Chase and Jefferson core WR sanity,expected_tier,ready,medium,Ja'Marr Chase|Justin Jefferson,,Chase and Jefferson should remain core/elite WR assets unless receipts show durable role or health collapse,"Ja'Marr Chase=66.08 (overall 4, WR1, usable); Justin Jefferson=55.65 (overall 10, WR3, usable); all listed players clear the core-tier review threshold.","Ja'Marr Chase: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Justin Jefferson: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Tier expectation is met in preview.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
wr_lamb_nabers_same_tier_006,Lamb and Nabers same general tier,expected_review_if_disagrees,ready,medium,CeeDee Lamb|Malik Nabers,,Lamb and Nabers should be in the same broad core WR tier; large separation requires receipt-backed explanation,"CeeDee Lamb=49.64 (overall 16, WR7, usable); Malik Nabers=52.21 (overall 11, WR4, usable); value gap is 2.57.","CeeDee Lamb: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Malik Nabers: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Lamb and Nabers are in the same broad tier.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
young_btj_luther_001,BTJ vs Luther Burden young bridge,expected_ordering,ready,high,Brian Thomas Jr.|Luther Burden,,BTJ should generally rank above Luther until Luther has NFL evidence; if Luther ranks above BTJ then receipts must show why,"Brian Thomas Jr.=51.12 (overall 14, WR5, usable); Luther Burden=17.63 (overall 37, WR21, weak); listed ordering is met.","Brian Thomas Jr.: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Luther Burden: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Ordering expectation is met.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
young_luther_chase_brown_002,Luther Burden vs Chase Brown,expected_review_if_disagrees,ready,medium,Luther Burden|Chase Brown,,If Luther outranks Chase Brown then the model must explain young WR prior versus Chase NFL/RB evidence; if Chase outranks Luther receipts should still show role risk,"Luther Burden=17.63 (overall 37, WR21, weak); Chase Brown=59.89 (overall 6, RB5, usable); Chase remains above Luther in preview.","Luther Burden: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Chase Brown: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Young prior is not overpowering NFL evidence in this pair.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
young_kaleb_veterans_003,Kaleb Johnson vs useful established veterans,expected_review_if_disagrees,ready,high,Kaleb Johnson|David Montgomery|Jakobi Meyers|Brandon Aiyuk|Jerry Jeudy,,Kaleb should not outrank useful established veterans on draft capital alone; any such result requires source-backed receipts,"Kaleb Johnson=13.56 (overall 39, RB10, weak); David Montgomery=51.28 (overall 13, RB6, usable); Jakobi Meyers=42.21 (overall 21, WR12, usable); Brandon Aiyuk=22.98 (overall 34, WR19, usable); Jerry Jeudy=45.34 (overall 19, WR10, usable); Kaleb is not above listed useful veterans.","Kaleb Johnson: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; David Montgomery: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Jakobi Meyers: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Brandon Aiyuk: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Jerry Jeudy: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Young RB prior is contained in this fixture.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
young_lifecycle_004,Young bridge lifecycle labels,expected_lifecycle,ready,high,Luther Burden|Kaleb Johnson|Jayden Higgins|Brian Thomas Jr.|Xavier Worthy|Ricky Pearsall|Jalen Coker|Malik Nabers|Marvin Harrison Jr.|Ladd McConkey,,Young players must be assigned to the correct year-one year-two or year-three bridge lifecycle; established veterans must not receive draft-capital scoring,"Luther Burden=17.63 (overall 37, WR21, weak); Kaleb Johnson=13.56 (overall 39, RB10, weak); Jayden Higgins=16.77 (overall 38, WR22, weak); Brian Thomas Jr.=51.12 (overall 14, WR5, usable); Xavier Worthy=42.67 (overall 20, WR11, usable); Ricky Pearsall=30.69 (overall 28, WR17, usable); Jalen Coker=28.59 (overall 31, WR18, usable); Malik Nabers=52.21 (overall 11, WR4, usable); Marvin Harrison Jr.=13.05 (overall 40, WR23, review); Ladd McConkey=12.79 (overall 41, WR24, review); lifecycle labels match fixture expectation.","Luther Burden: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Kaleb Johnson: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Jayden Higgins: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Brian Thomas Jr.: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Xavier Worthy: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Ricky Pearsall: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Jalen Coker: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Malik Nabers: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Marvin Harrison Jr.: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Ladd McConkey: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Lifecycle expectation is met.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
age_wr_vs_rb_001,Aging WR versus young cornerstone RB,expected_ordering,ready,high,Keenan Allen|Davante Adams|Tyreek Hill|Mike Evans|Stefon Diggs|Cooper Kupp|Bijan Robinson|Jahmyr Gibbs|De'Von Achane,,Young cornerstone RBs should not be below aging WRs unless receipts show overwhelming source-backed production and durable role evidence,"Keenan Allen=32.74 (overall 26, WR16, usable); Davante Adams=6.60 (overall 73, WR39, review); Tyreek Hill=7.68 (overall 68, WR35, review); Mike Evans=7.68 (overall 69, WR36, review); Stefon Diggs=7.68 (overall 70, WR37, review); Cooper Kupp=7.68 (overall 71, WR38, review); Bijan Robinson=75.24 (overall 1, RB1, usable); Jahmyr Gibbs=73.98 (overall 2, RB2, usable); De'Von Achane=62.55 (overall 5, RB4, usable); cornerstone RBs are not below aging WRs in this preview.","Keenan Allen: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Davante Adams: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Tyreek Hill: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Mike Evans: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Stefon Diggs: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Cooper Kupp: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Bijan Robinson: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Jahmyr Gibbs: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; De'Von Achane: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Cross-position age expectation is met.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
age_veteran_receipts_002,Aging veteran receipt visibility,expected_receipt_explanation,ready,medium,Keenan Allen|Davante Adams|Tyreek Hill|Mike Evans|Stefon Diggs|Cooper Kupp|Derrick Henry|Travis Kelce,,Age/dropoff must be visible for aging veterans and cannot be hidden behind production-only scores,"Keenan Allen=32.74 (overall 26, WR16, usable); Davante Adams=6.60 (overall 73, WR39, review); Tyreek Hill=7.68 (overall 68, WR35, review); Mike Evans=7.68 (overall 69, WR36, review); Stefon Diggs=7.68 (overall 70, WR37, review); Cooper Kupp=7.68 (overall 71, WR38, review); Derrick Henry=4.20 (overall 75, RB18, review); Travis Kelce=4.60 (overall 74, TE10, review); required receipt sections are present.","Keenan Allen: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Davante Adams: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Tyreek Hill: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Mike Evans: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Stefon Diggs: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Cooper Kupp: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Derrick Henry: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Travis Kelce: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Receipt visibility expectation is met.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
qb_1qb_suppression_001,1QB suppression boundary,expected_suppression,ready,high,Josh Allen|Jalen Hurts|Patrick Mahomes|Jayden Daniels|Joe Burrow|Brock Purdy|Daniel Jones,,Replaceable QBs should not outrank elite RBs or WRs; elite/rushing QBs may be exceptions only with visible scoring and start-security receipts,"Josh Allen=58.39 (overall 7, QB1, usable); Jalen Hurts=9.20 (overall 58, QB5, review); Patrick Mahomes=9.20 (overall 59, QB6, review); Jayden Daniels=10.26 (overall 52, QB4, review); Joe Burrow=9.20 (overall 60, QB7, review); Brock Purdy=9.20 (overall 61, QB8, review); Daniel Jones=37.55 (overall 22, QB3, usable); replaceable QB suppression boundary holds.","Josh Allen: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Jalen Hurts: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Patrick Mahomes: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Jayden Daniels: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Joe Burrow: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Brock Purdy: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Daniel Jones: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,1QB suppression expectation is met.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
qb_replaceable_control_002,Replaceable QB suppression controls,expected_suppression,ready,medium,Daniel Jones|Brock Purdy|Joe Burrow,,Replaceable or merely solid QBs should be suppressed relative to elite RB/WR assets,"Daniel Jones=37.55 (overall 22, QB3, usable); Brock Purdy=9.20 (overall 61, QB8, review); Joe Burrow=9.20 (overall 60, QB7, review); replaceable QB suppression boundary holds.","Daniel Jones: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Brock Purdy: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Joe Burrow: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,1QB suppression expectation is met.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
te_no_premium_001,No-premium TE suppression boundary,expected_suppression,ready,high,Brock Bowers|Trey McBride|Sam LaPorta|George Kittle|Mark Andrews|Travis Kelce|T.J. Hockenson|Jake Ferguson|Brenton Strange|Oronde Gadsden II,,TEs should be suppressed in no-premium format unless they are true elite volume exceptions; replaceable TEs need clear warnings,"Brock Bowers=52.11 (overall 12, TE1, usable); Trey McBride=9.20 (overall 62, TE7, review); Sam LaPorta=9.54 (overall 57, TE6, review); George Kittle=7.80 (overall 66, TE8, review); Mark Andrews=7.80 (overall 67, TE9, review); Travis Kelce=4.60 (overall 74, TE10, review); T.J. Hockenson=29.57 (overall 29, TE2, usable); Jake Ferguson=28.89 (overall 30, TE3, usable); Brenton Strange=27.75 (overall 32, TE4, usable); Oronde Gadsden II=12.43 (overall 42, TE5, weak); TE no-premium suppression boundary holds.","Brock Bowers: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Trey McBride: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Sam LaPorta: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; George Kittle: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Mark Andrews: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Travis Kelce: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; T.J. Hockenson: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Jake Ferguson: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Brenton Strange: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Oronde Gadsden II: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,No-premium TE suppression expectation is met.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
te_elite_exception_002,Elite TE exception receipts,expected_receipt_explanation,ready,medium,Brock Bowers|Trey McBride|Sam LaPorta,,Elite TEs may remain valuable but must show volume and target evidence rather than position reputation,"Brock Bowers=52.11 (overall 12, TE1, usable); Trey McBride=9.20 (overall 62, TE7, review); Sam LaPorta=9.54 (overall 57, TE6, review); required receipt sections are present.","Brock Bowers: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Trey McBride: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Sam LaPorta: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Receipt visibility expectation is met.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
market_isolation_001,Market value cannot move private value,expected_market_separation,ready,high,Justin Jefferson|Bijan Robinson|Keenan Allen|Kaleb Johnson,,Changing market or liquidity values must not alter Dynasty Asset Value or private/model value,"Justin Jefferson=55.65 (overall 10, WR3, usable); Bijan Robinson=75.24 (overall 1, RB1, usable); Keenan Allen=32.74 (overall 26, WR16, usable); Kaleb Johnson=13.56 (overall 39, RB10, weak); v4 preview component contributions contain no market or league-rank component.","Justin Jefferson: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Bijan Robinson: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Keenan Allen: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Kaleb Johnson: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Market/league-rank separation is enforced by config and preview component schema.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
market_missing_edge_002,Missing market cannot create fake edge,expected_market_separation,ready,medium,Any truth-set player with missing market,,Missing or neutral market data must not create a fake Model-vs-Market edge,; v4 preview component contributions contain no market or league-rank component.,,acceptable model disagreement,Market/league-rank separation is enforced by config and preview component schema.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
league_rank_context_001,League rank cannot move Dynasty Asset Value,expected_market_separation,ready,high,De'Von Achane|Lamar Jackson|Chase Brown|Luther Burden|Brian Thomas Jr.,,League rank may define the Roster's League-Rank Top Five but must not raise or lower Dynasty Asset Value,"De'Von Achane=62.55 (overall 5, RB4, usable); Lamar Jackson=56.59 (overall 9, QB2, usable); Chase Brown=59.89 (overall 6, RB5, usable); Luther Burden=17.63 (overall 37, WR21, weak); Brian Thomas Jr.=51.12 (overall 14, WR5, usable); v4 preview component contributions contain no market or league-rank component.","De'Von Achane: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Lamar Jackson: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Chase Brown: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Luther Burden: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Brian Thomas Jr.: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Market/league-rank separation is enforced by config and preview component schema.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
forced_release_pool_001,Required top-five release pool only,expected_receipt_explanation,ready,high,De'Von Achane|Lamar Jackson|Chase Brown|Luther Burden|Brian Thomas Jr.,,Required Top-Five Release Slot must be selected only from the locked Niners roster's league-rank top five,"De'Von Achane=62.55 (overall 5, RB4, usable); Lamar Jackson=56.59 (overall 9, QB2, usable); Chase Brown=59.89 (overall 6, RB5, usable); Luther Burden=17.63 (overall 37, WR21, weak); Brian Thomas Jr.=51.12 (overall 14, WR5, usable); required receipt sections are present.","De'Von Achane: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Lamar Jackson: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Chase Brown: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Luther Burden: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Brian Thomas Jr.: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Receipt visibility expectation is met.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
