fixture_id,fixture_name,fixture_type,status,review_severity,players,missing_players,expected_behavior,actual_behavior,receipt_explanation,disagreement_classification,likely_cause,next_action
wr_chase_jefferson_core_005,Chase and Jefferson core WR sanity,expected_tier,ready,medium,Ja'Marr Chase|Justin Jefferson,,Chase and Jefferson should remain core/elite WR assets unless receipts show durable role or health collapse,"Ja'Marr Chase=67.08 (overall 9, WR1, usable); Justin Jefferson=56.63 (overall 23, WR4, usable); all listed players clear the core-tier review threshold.","Ja'Marr Chase: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Justin Jefferson: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Tier expectation is met in preview.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
wr_lamb_nabers_same_tier_006,Lamb and Nabers same general tier,expected_review_if_disagrees,ready,medium,CeeDee Lamb|Malik Nabers,,Lamb and Nabers should be in the same broad core WR tier; large separation requires receipt-backed explanation,"CeeDee Lamb=50.51 (overall 32, WR10, usable); Malik Nabers=52.84 (overall 27, WR7, usable); value gap is 2.32.","CeeDee Lamb: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Malik Nabers: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Lamb and Nabers are in the same broad tier.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
young_btj_luther_001,BTJ vs Luther Burden young bridge,expected_ordering,ready,high,Brian Thomas Jr.|Luther Burden,,BTJ should generally rank above Luther until Luther has NFL evidence; if Luther ranks above BTJ then receipts must show why,"Brian Thomas Jr.=51.68 (overall 30, WR8, usable); Luther Burden=18.28 (overall 72, WR38, weak); listed ordering is met.","Brian Thomas Jr.: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Luther Burden: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Ordering expectation is met.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
young_luther_chase_brown_002,Luther Burden vs Chase Brown,expected_review_if_disagrees,ready,medium,Luther Burden|Chase Brown,,If Luther outranks Chase Brown then the model must explain young WR prior versus Chase NFL/RB evidence; if Chase outranks Luther receipts should still show role risk,"Luther Burden=18.28 (overall 72, WR38, weak); Chase Brown=60.90 (overall 14, RB10, usable); Chase remains above Luther in preview.","Luther Burden: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Chase Brown: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Young prior is not overpowering NFL evidence in this pair.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
young_kaleb_veterans_003,Kaleb Johnson vs useful established veterans,expected_review_if_disagrees,ready,high,Kaleb Johnson|David Montgomery|Jakobi Meyers|Brandon Aiyuk|Jerry Jeudy,,Kaleb should not outrank useful established veterans on draft capital alone; any such result requires source-backed receipts,"Kaleb Johnson=13.59 (overall 74, RB18, weak); David Montgomery=52.15 (overall 29, RB13, usable); Jakobi Meyers=42.83 (overall 45, WR20, usable); Brandon Aiyuk=28.72 (overall 65, WR35, weak); Jerry Jeudy=45.81 (overall 42, WR17, usable); Kaleb is not above listed useful veterans.","Kaleb Johnson: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; David Montgomery: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Jakobi Meyers: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Brandon Aiyuk: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Jerry Jeudy: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Young RB prior is contained in this fixture.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
young_lifecycle_004,Young bridge lifecycle labels,expected_lifecycle,ready,high,Luther Burden|Kaleb Johnson|Jayden Higgins|Brian Thomas Jr.|Xavier Worthy|Ricky Pearsall|Jalen Coker|Malik Nabers|Marvin Harrison Jr.|Ladd McConkey,,Young players must be assigned to the correct year-one year-two or year-three bridge lifecycle; established veterans must not receive draft-capital scoring,"Luther Burden=18.28 (overall 72, WR38, weak); Kaleb Johnson=13.59 (overall 74, RB18, weak); Jayden Higgins=17.25 (overall 73, WR39, weak); Brian Thomas Jr.=51.68 (overall 30, WR8, usable); Xavier Worthy=43.16 (overall 44, WR19, usable); Ricky Pearsall=31.20 (overall 60, WR32, usable); Jalen Coker=29.17 (overall 64, WR34, usable); Malik Nabers=52.84 (overall 27, WR7, usable); Marvin Harrison Jr.=38.86 (overall 49, WR24, review); Ladd McConkey=41.03 (overall 47, WR22, review); lifecycle labels match fixture expectation.","Luther Burden: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Kaleb Johnson: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Jayden Higgins: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Brian Thomas Jr.: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Xavier Worthy: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Ricky Pearsall: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Jalen Coker: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Malik Nabers: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Marvin Harrison Jr.: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Ladd McConkey: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Lifecycle expectation is met.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
age_wr_vs_rb_001,Aging WR versus young cornerstone RB,expected_ordering,ready,high,Keenan Allen|Davante Adams|Tyreek Hill|Mike Evans|Stefon Diggs|Cooper Kupp|Bijan Robinson|Jahmyr Gibbs|De'Von Achane,,Young cornerstone RBs should not be below aging WRs unless receipts show overwhelming source-backed production and durable role evidence,"Keenan Allen=40.92 (overall 48, WR23, weak); Davante Adams=50.46 (overall 33, WR11, review); Tyreek Hill=46.58 (overall 41, WR16, weak); Mike Evans=48.13 (overall 36, WR13, review); Stefon Diggs=31.87 (overall 57, WR29, review); Cooper Kupp=37.19 (overall 54, WR27, review); Bijan Robinson=76.58 (overall 2, RB2, usable); Jahmyr Gibbs=75.31 (overall 3, RB3, usable); De'Von Achane=63.66 (overall 12, RB8, usable); cornerstone RBs are not below aging WRs in this preview.","Keenan Allen: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Davante Adams: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Tyreek Hill: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Mike Evans: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Stefon Diggs: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Cooper Kupp: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Bijan Robinson: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Jahmyr Gibbs: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; De'Von Achane: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Cross-position age expectation is met.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
age_veteran_receipts_002,Aging veteran receipt visibility,expected_receipt_explanation,ready,medium,Keenan Allen|Davante Adams|Tyreek Hill|Mike Evans|Stefon Diggs|Cooper Kupp|Derrick Henry|Travis Kelce,,Age/dropoff must be visible for aging veterans and cannot be hidden behind production-only scores,"Keenan Allen=40.92 (overall 48, WR23, weak); Davante Adams=50.46 (overall 33, WR11, review); Tyreek Hill=46.58 (overall 41, WR16, weak); Mike Evans=48.13 (overall 36, WR13, review); Stefon Diggs=31.87 (overall 57, WR29, review); Cooper Kupp=37.19 (overall 54, WR27, review); Derrick Henry=73.22 (overall 5, RB4, review); Travis Kelce=49.12 (overall 35, TE4, review); required receipt sections are present.","Keenan Allen: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Davante Adams: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Tyreek Hill: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Mike Evans: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Stefon Diggs: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Cooper Kupp: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Derrick Henry: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Travis Kelce: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Receipt visibility expectation is met.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
qb_1qb_suppression_001,1QB suppression boundary,expected_suppression,review,high,Josh Allen|Jalen Hurts|Patrick Mahomes|Jayden Daniels|Joe Burrow|Brock Purdy|Daniel Jones,,Replaceable QBs should not outrank elite RBs or WRs; elite/rushing QBs may be exceptions only with visible scoring and start-security receipts,"Josh Allen=59.34 (overall 17, QB3, usable); Jalen Hurts=73.81 (overall 4, QB1, review); Patrick Mahomes=57.51 (overall 20, QB5, review); Jayden Daniels=47.46 (overall 38, QB7, review); Joe Burrow=63.95 (overall 10, QB2, review); Brock Purdy=57.94 (overall 18, QB4, review); Daniel Jones=38.09 (overall 50, QB8, usable); Replaceable QB equals/exceeds elite RB/WR benchmark.","Josh Allen: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Jalen Hurts: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Patrick Mahomes: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Jayden Daniels: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Joe Burrow: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Brock Purdy: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Daniel Jones: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",formula issue,Replaceable QB equals/exceeds elite RB/WR benchmark.,Do not tune blindly; inspect component weights and named receipts.
qb_replaceable_control_002,Replaceable QB suppression controls,expected_suppression,review,medium,Daniel Jones|Brock Purdy|Joe Burrow,,Replaceable or merely solid QBs should be suppressed relative to elite RB/WR assets,"Daniel Jones=38.09 (overall 50, QB8, usable); Brock Purdy=57.94 (overall 18, QB4, review); Joe Burrow=63.95 (overall 10, QB2, review); Replaceable QB equals/exceeds elite RB/WR benchmark.","Daniel Jones: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Brock Purdy: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Joe Burrow: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",formula issue,Replaceable QB equals/exceeds elite RB/WR benchmark.,Do not tune blindly; inspect component weights and named receipts.
te_no_premium_001,No-premium TE suppression boundary,expected_suppression,review,high,Brock Bowers|Trey McBride|Sam LaPorta|George Kittle|Mark Andrews|Travis Kelce|T.J. Hockenson|Jake Ferguson|Brenton Strange|Oronde Gadsden II,,TEs should be suppressed in no-premium format unless they are true elite volume exceptions; replaceable TEs need clear warnings,"Brock Bowers=53.13 (overall 26, TE3, review); Trey McBride=63.68 (overall 11, TE1, review); Sam LaPorta=37.59 (overall 52, TE6, review); George Kittle=57.45 (overall 21, TE2, review); Mark Andrews=47.10 (overall 40, TE5, review); Travis Kelce=49.12 (overall 35, TE4, review); T.J. Hockenson=30.26 (overall 62, TE7, usable); Jake Ferguson=29.44 (overall 63, TE8, usable); Brenton Strange=28.32 (overall 66, TE9, usable); Oronde Gadsden II=12.91 (overall 75, TE10, weak); Replaceable/non-elite TE equals/exceeds elite RB/WR benchmark.","Brock Bowers: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Trey McBride: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Sam LaPorta: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; George Kittle: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Mark Andrews: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Travis Kelce: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; T.J. Hockenson: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Jake Ferguson: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Brenton Strange: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Oronde Gadsden II: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",formula issue,Replaceable/non-elite TE equals/exceeds elite RB/WR benchmark.,Do not tune blindly; inspect component weights and named receipts.
te_elite_exception_002,Elite TE exception receipts,expected_receipt_explanation,ready,medium,Brock Bowers|Trey McBride|Sam LaPorta,,Elite TEs may remain valuable but must show volume and target evidence rather than position reputation,"Brock Bowers=53.13 (overall 26, TE3, review); Trey McBride=63.68 (overall 11, TE1, review); Sam LaPorta=37.59 (overall 52, TE6, review); required receipt sections are present.","Brock Bowers: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Trey McBride: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Sam LaPorta: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Receipt visibility expectation is met.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
market_isolation_001,Market value cannot move private value,expected_market_separation,ready,high,Justin Jefferson|Bijan Robinson|Keenan Allen|Kaleb Johnson,,Changing market or liquidity values must not alter Dynasty Asset Value or private/model value,"Justin Jefferson=56.63 (overall 23, WR4, usable); Bijan Robinson=76.58 (overall 2, RB2, usable); Keenan Allen=40.92 (overall 48, WR23, weak); Kaleb Johnson=13.59 (overall 74, RB18, weak); v4 preview component contributions contain no market or league-rank component.","Justin Jefferson: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Bijan Robinson: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Keenan Allen: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Kaleb Johnson: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Market/league-rank separation is enforced by config and preview component schema.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
market_missing_edge_002,Missing market cannot create fake edge,expected_market_separation,ready,medium,Any truth-set player with missing market,,Missing or neutral market data must not create a fake Model-vs-Market edge,; v4 preview component contributions contain no market or league-rank component.,,acceptable model disagreement,Market/league-rank separation is enforced by config and preview component schema.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
league_rank_context_001,League rank cannot move Dynasty Asset Value,expected_market_separation,ready,high,De'Von Achane|Lamar Jackson|Chase Brown|Luther Burden|Brian Thomas Jr.,,League rank may define the Roster's League-Rank Top Five but must not raise or lower Dynasty Asset Value,"De'Von Achane=63.66 (overall 12, RB8, usable); Lamar Jackson=57.32 (overall 22, QB6, usable); Chase Brown=60.90 (overall 14, RB10, usable); Luther Burden=18.28 (overall 72, WR38, weak); Brian Thomas Jr.=51.68 (overall 30, WR8, usable); v4 preview component contributions contain no market or league-rank component.","De'Von Achane: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Lamar Jackson: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Chase Brown: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Luther Burden: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Brian Thomas Jr.: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Market/league-rank separation is enforced by config and preview component schema.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
forced_release_pool_001,Required top-five release pool only,expected_receipt_explanation,ready,high,De'Von Achane|Lamar Jackson|Chase Brown|Luther Burden|Brian Thomas Jr.,,Required Top-Five Release Slot must be selected only from the locked Niners roster's league-rank top five,"De'Von Achane=63.66 (overall 12, RB8, usable); Lamar Jackson=57.32 (overall 22, QB6, usable); Chase Brown=60.90 (overall 14, RB10, usable); Luther Burden=18.28 (overall 72, WR38, weak); Brian Thomas Jr.=51.68 (overall 30, WR8, usable); required receipt sections are present.","De'Von Achane: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Lamar Jackson: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Chase Brown: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Luther Burden: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Brian Thomas Jr.: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Receipt visibility expectation is met.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
