player_id,player,pos,nfl_team,age,asset_type,position_rank,tier,final_board_rank,dynasty_rank,emergency_candidate_rank,emergency_candidate_value,tuned_cross_asset_rank,tuned_cross_asset_value,direction_vs_frozen_rank,direction_vs_emergency_candidate_rank,confidence_band,value_band,tuned_value_basis,uncertainty_reasons,adp,available_pool_adp_rank,available_pool_adp_range,outcome_applicable_summary,main_reason_to_draft,main_reason_to_pass,human_review_flag
8144.0,Chris Olave,WR,NO,26.0,dropped_veteran,20,Tier 3 - Value/Need Dependent,34,14.0,3,54.57,11,44.46,up meaningfully vs frozen,down vs emergency,Medium,Viable with caveats,full_dynasty_anchor_plus_frozen_context; young_established_wr_anchor_review,approved_full_dynasty_score_anchor; frozen_score_basis=pinned_veteran_candidate_value_for_dropped_legal_draftable_pool; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+54.1; age_curve_component=+0.5; position_scarcity_component=+1.5; role_evidence_component=+0.8; uncertainty_penalty=+2.3,34.8,34,Depth / later,Not enough information,Established WR anchor from internal dynasty score; safer comparison base than raw rookie/prospect score.,Passing is reasonable if roster construction or near-term role risk matters more than long-term upside.,outcome_gap
,Jonah Coleman,RB,DEN,Not enough information,rookie,3,Tier 1 - Priority Draft Targets,11,,15,35.0,12,42.25,similar to frozen,slightly changed vs emergency,Low,Viable with caveats,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+40.8; age_curve_component=-1.0; position_scarcity_component=+2.5; role_evidence_component=+0.5; uncertainty_penalty=+7.8,111.9,110,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|outcome_gap
8148.0,Jameson Williams,WR,DET,25.2,dropped_veteran,25,Tier 3 - Value/Need Dependent,42,26.0,5,48.99,13,41.8,up meaningfully vs frozen,down vs emergency,Medium,Viable with caveats,full_dynasty_anchor_plus_frozen_context; young_established_wr_anchor_review,approved_full_dynasty_score_anchor; frozen_score_basis=pinned_veteran_candidate_value_for_dropped_legal_draftable_pool; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+48.5; age_curve_component=+0.5; position_scarcity_component=+1.5; role_evidence_component=+0.8; uncertainty_penalty=+2.3,70.6,69,Depth / later,Not enough information,Established WR anchor from internal dynasty score; safer comparison base than raw rookie/prospect score.,Passing is reasonable if roster construction or near-term role risk matters more than long-term upside.,outcome_gap
,Antonio Williams,WR,WAS,Not enough information,rookie,8,Tier 1 - Priority Draft Targets,10,,27,21.8,14,40.4,down modestly vs frozen,up vs emergency,Low,Viable with caveats,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+41.6; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=-1.5; uncertainty_penalty=+18.8,186.3,180,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|outcome_gap
,Skyler Bell,WR,BUF,Not enough information,rookie,9,Tier 1 - Priority Draft Targets,12,,17,31.7,15,40.1,down modestly vs frozen,similar to emergency,Low,Viable with caveats,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+40.0; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=-1.0; uncertainty_penalty=+7.8,212.0,199,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|outcome_gap
8142.0,Alec Pierce,WR,IND,26.1,dropped_veteran,29,Tier 3 - Value/Need Dependent,47,27.0,6,48.45,16,35.02,up meaningfully vs frozen,down vs emergency,Medium,Viable with caveats,full_dynasty_anchor_plus_frozen_context,approved_full_dynasty_score_anchor; frozen_score_basis=pinned_veteran_candidate_value_for_dropped_legal_draftable_pool; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+48.0; age_curve_component=+0.5; position_scarcity_component=+1.5; role_evidence_component=+0.8; uncertainty_penalty=+2.3,83.1,81,Depth / later,Not enough information,Established WR anchor from internal dynasty score; safer comparison base than raw rookie/prospect score.,Passing is reasonable if roster construction or near-term role risk matters more than long-term upside.,outcome_gap
,Brenen Thompson,WR,LAC,Not enough information,rookie,10,Tier 2 - Strong Draft Considers,13,,23,23.2,17,34.95,down modestly vs frozen,up vs emergency,Low,Viable with caveats,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+37.0; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=-3.5; uncertainty_penalty=+10.8,225.0,209,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|outcome_gap
,Elijah Sarratt,WR,BAL,Not enough information,rookie,11,Tier 2 - Strong Draft Considers,14,,24,22.7,18,32.8,down modestly vs frozen,up vs emergency,Low,Depth / format-dependent,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+36.5; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=-3.5; uncertainty_penalty=+10.8,151.2,149,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|outcome_gap
,Emmett Johnson,RB,KC,Not enough information,rookie,4,Tier 2 - Strong Draft Considers,15,,16,32.2,19,30.65,down modestly vs frozen,slightly changed vs emergency,Low,Depth / format-dependent,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+36.0; age_curve_component=-1.0; position_scarcity_component=+2.5; role_evidence_component=+2.5; uncertainty_penalty=+7.8,127.4,127,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|outcome_gap
11564.0,Drake Maye,QB,NE,23.8,dropped_veteran,1,Tier 3 - Value/Need Dependent,40,23.0,11,38.35,20,29.08,up meaningfully vs frozen,down vs emergency,Low,Depth / format-dependent,full_dynasty_anchor_plus_frozen_context,approved_full_dynasty_score_anchor; frozen_score_basis=pinned_veteran_candidate_value_for_dropped_legal_draftable_pool; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+49.4; age_curve_component=+1.0; position_scarcity_component=-6.0; role_evidence_component=-0.2; uncertainty_penalty=+5.8,9.6,9,Late 1st equivalent,Not enough information,Established QB anchor from internal dynasty score; safer comparison base than raw rookie/prospect score.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|outcome_gap
,Kaytron Allen,RB,WAS,Not enough information,rookie,5,Tier 2 - Strong Draft Considers,16,,21,23.7,21,28.5,down modestly vs frozen,similar to emergency,Low,Depth / format-dependent,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+35.5; age_curve_component=-1.0; position_scarcity_component=+2.5; role_evidence_component=-2.5; uncertainty_penalty=+10.8,187.3,182,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|outcome_gap
,Adam Randall,RB,BAL,Not enough information,rookie,6,Tier 2 - Strong Draft Considers,17,,18,31.2,22,26.35,down modestly vs frozen,slightly changed vs emergency,Low,Depth / format-dependent,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+35.0; age_curve_component=-1.0; position_scarcity_component=+2.5; role_evidence_component=+2.5; uncertainty_penalty=+7.8,289.1,237,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|outcome_gap
,Josh Cameron,WR,JAX,Not enough information,rookie,12,Tier 2 - Strong Draft Considers,18,,25,22.7,23,24.2,down modestly vs frozen,similar to emergency,Low,Depth / format-dependent,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+34.5; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=-1.5; uncertainty_penalty=+10.8,343.5,241,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|outcome_gap
8228.0,Jaylen Warren,RB,PIT,27.6,dropped_veteran,18,Tier 4 - Manual Review / Discount Only,54,43.0,19,28.2,24,22.06,up meaningfully vs frozen,down vs emergency,Medium,Depth / format-dependent,full_dynasty_anchor_plus_frozen_context,approved_full_dynasty_score_anchor; frozen_score_basis=pinned_veteran_candidate_value_for_dropped_legal_draftable_pool; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+34.2; age_curve_component=-7.0; position_scarcity_component=+2.5; role_evidence_component=+0.8; uncertainty_penalty=+2.3,89.9,88,Depth / later,Not enough information,Established RB anchor from internal dynasty score; safer comparison base than raw rookie/prospect score.,Passing is reasonable if roster construction or near-term role risk matters more than long-term upside.,outcome_gap
,Nicholas Singleton,RB,TEN,Not enough information,rookie,7,Tier 2 - Strong Draft Considers,19,,26,22.2,25,22.05,down modestly vs frozen,similar to emergency,Low,Depth / format-dependent,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+34.0; age_curve_component=-1.0; position_scarcity_component=+2.5; role_evidence_component=-2.5; uncertainty_penalty=+10.8,112.4,111,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|outcome_gap
10229.0,Rashee Rice,WR,KC,26.2,dropped_veteran,36,Tier 4 - Manual Review / Discount Only,62,79.0,20,26.27,26,17.84,up meaningfully vs frozen,down vs emergency,Medium,Hold / low confidence,full_dynasty_anchor_plus_frozen_context,approved_full_dynasty_score_anchor; frozen_score_basis=pinned_veteran_candidate_value_for_dropped_legal_draftable_pool; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+25.8; age_curve_component=+0.5; position_scarcity_component=+1.5; role_evidence_component=+0.8; uncertainty_penalty=+2.3,47.2,46,Depth / later,Not enough information,Established WR anchor from internal dynasty score; safer comparison base than raw rookie/prospect score.,Passing is reasonable if roster construction or near-term role risk matters more than long-term upside.,outcome_gap
,Demond Claiborne,RB,MIN,Not enough information,rookie,8,Tier 2 - Strong Draft Considers,21,,29,21.2,27,17.75,down modestly vs frozen,similar to emergency,Low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+33.0; age_curve_component=-1.0; position_scarcity_component=+2.5; role_evidence_component=-2.5; uncertainty_penalty=+10.8,219.0,204,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|outcome_gap
11631.0,Brian Thomas,WR,JAX,Not enough information,dropped_veteran,37,Tier 4 - Manual Review / Discount Only,63,82.0,22,23.69,28,16.99,up meaningfully vs frozen,down vs emergency,Medium,Hold / low confidence,full_dynasty_anchor_plus_frozen_context,approved_full_dynasty_score_anchor; frozen_score_basis=pinned_veteran_candidate_value_for_dropped_legal_draftable_pool; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+24.7; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=+0.8; uncertainty_penalty=+2.3,65.7,64,Depth / later,Not enough information,Established WR anchor from internal dynasty score; safer comparison base than raw rookie/prospect score.,Passing is reasonable if roster construction or near-term role risk matters more than long-term upside.,outcome_gap
,Barion Brown,WR,NO,Not enough information,rookie,13,Tier 2 - Strong Draft Considers,20,,51,13.7,29,15.9,down meaningfully vs frozen,up vs emergency,Low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+33.5; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=-1.5; uncertainty_penalty=+18.8,999.0,259,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|outcome_gap
,Lewis Bond,WR,HOU,Not enough information,rookie,14,Tier 2 - Strong Draft Considers,22,,31,20.7,30,15.6,down meaningfully vs frozen,similar to emergency,Low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+32.5; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=-1.5; uncertainty_penalty=+10.8,999.0,249,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|outcome_gap
,J'Mari Taylor,RB,JAX,Not enough information,rookie,9,Tier 2 - Strong Draft Considers,23,,33,20.2,31,13.45,down meaningfully vs frozen,similar to emergency,Low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+32.0; age_curve_component=-1.0; position_scarcity_component=+2.5; role_evidence_component=-2.5; uncertainty_penalty=+10.8,230.1,214,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|outcome_gap
3294.0,Dak Prescott,QB,DAL,32.9,dropped_veteran,2,Tier 4 - Manual Review / Discount Only,60,70.0,57,10.06,32,11.44,up meaningfully vs frozen,up vs emergency,Low,Hold / low confidence,full_dynasty_anchor_plus_frozen_context,approved_full_dynasty_score_anchor; frozen_score_basis=pinned_veteran_candidate_value_for_dropped_legal_draftable_pool; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+27.1; age_curve_component=-5.0; position_scarcity_component=-6.0; role_evidence_component=-0.2; uncertainty_penalty=+5.8,112.7,112,Depth / later,Not enough information,Established QB anchor from internal dynasty score; safer comparison base than raw rookie/prospect score.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|outcome_gap
,Eric McAlister,WR,FA,Not enough information,rookie,15,Tier 2 - Strong Draft Considers,24,,28,21.7,33,11.3,down meaningfully vs frozen,down vs emergency,Medium-low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+30.0; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=-1.5; uncertainty_penalty=+7.3,341.2,240,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|outcome_gap
,Kejon Owens,RB,MIN,Not enough information,rookie,11,Tier 2 - Strong Draft Considers,26,,39,17.95,34,7.0,down meaningfully vs frozen,up vs emergency,Low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+29.8; age_curve_component=-1.0; position_scarcity_component=+2.5; role_evidence_component=-2.5; uncertainty_penalty=+10.8,376.0,246,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|outcome_gap
,Kentrel Bullock,RB,CIN,Not enough information,rookie,10,Tier 2 - Strong Draft Considers,25,,56,11.7,35,5.15,down meaningfully vs frozen,up vs emergency,Low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+31.5; age_curve_component=-1.0; position_scarcity_component=+2.5; role_evidence_component=-2.5; uncertainty_penalty=+18.8,999.0,262,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|outcome_gap
