final_board_rank,player,position,nfl_team,final_board_score_visible,final_tier,model_posture_used,depth_chart_role_display_only,warning_severity_display_only,risk_notes,candidate_loudness,loudness_reason,apply_to_live_artifacts
11,Jonah Coleman,RB,DEN,78.85,Tier 1 - Priority Draft Targets,role_usage_core,RB_PREMIUM_THREE_DOWN,manual_review,"rookie_warning=manual_review; manual_question=Is Jonah Coleman's feature-driven rank move (+24) supported by NFL team, role, and draft-capital context?",LOUD_BADGE,manual_review,NO
12,Skyler Bell,WR,BUF,77.7,Tier 1 - Priority Draft Targets,safe_no_snap_no_depth_rank,WR_TRUE_ALPHA_TARGET_EARNER,manual_review,"rookie_warning=manual_review; manual_question=Does Skyler Bell have a credible target-earning path on his NFL depth chart, including route/separation evidence?",LOUD_BADGE,manual_review,NO
13,Brenen Thompson,WR,LAC,76.55,Tier 2 - Strong Draft Considers,safe_no_snap_no_depth_rank,needs_data: nfl_depth_chart_target_earning_role,manual_review,"rookie_warning=manual_review; manual_question=Does Brenen Thompson have a credible target-earning path on his NFL depth chart, including route/separation evidence?",LOUD_BADGE,manual_review|needs_data,NO
14,Elijah Sarratt,WR,BAL,75.4,Tier 2 - Strong Draft Considers,safe_no_snap_no_depth_rank,needs_data: nfl_depth_chart_target_earning_role,manual_review,"rookie_warning=manual_review; manual_question=Does Elijah Sarratt have a credible target-earning path on his NFL depth chart, including route/separation evidence?",LOUD_BADGE,manual_review|needs_data,NO
15,Emmett Johnson,RB,KC,74.25,Tier 2 - Strong Draft Considers,role_usage_core,RB_PREMIUM_THREE_DOWN|RB_RECEIVING_BACK,manual_review,"rookie_warning=manual_review; manual_question=Does Emmett Johnson have a credible early-down, goal-line, or first-down role path?",LOUD_BADGE,manual_review,NO
16,Kaytron Allen,RB,WAS,73.1,Tier 2 - Strong Draft Considers,role_usage_core,needs_data: nfl_depth_chart_rush_goal_line_first_down_role,manual_review,"rookie_warning=manual_review; manual_question=Does Kaytron Allen have a credible early-down, goal-line, or first-down role path?",LOUD_BADGE,manual_review|needs_data,NO
17,Adam Randall,RB,BAL,71.95,Tier 2 - Strong Draft Considers,role_usage_core,RB_PREMIUM_THREE_DOWN|RB_RECEIVING_BACK,manual_review,"rookie_warning=manual_review; manual_question=Does Adam Randall have a credible early-down, goal-line, or first-down role path?",LOUD_BADGE,manual_review,NO
18,Josh Cameron,WR,JAX,70.8,Tier 2 - Strong Draft Considers,safe_no_snap_no_depth_rank,needs_data: nfl_depth_chart_target_earning_role,manual_review,"rookie_warning=manual_review; manual_question=Does Josh Cameron have a credible target-earning path on his NFL depth chart, including route/separation evidence?",LOUD_BADGE,manual_review|needs_data,NO
19,Nicholas Singleton,RB,TEN,69.65,Tier 2 - Strong Draft Considers,role_usage_core,needs_data: nfl_depth_chart_rush_goal_line_first_down_role,manual_review,"rookie_warning=manual_review; manual_question=Does Nicholas Singleton have a credible early-down, goal-line, or first-down role path?",LOUD_BADGE,manual_review|needs_data,NO
20,Barion Brown,WR,NO,68.5,Tier 2 - Strong Draft Considers,safe_no_snap_no_depth_rank,needs_data: nfl_depth_chart_target_earning_role,critical_trap_guard,"rookie_warning=critical_trap_guard; manual_question=Does Barion Brown's NFL draft capital/role (round=6; pick=190; needs_data: nfl_depth_chart_target_earning_role) actually support rank 20, or is this production profile a trap?",CRITICAL_BADGE,manual_review|needs_data|critical_trap_guard,NO
21,Demond Claiborne,RB,MIN,67.35,Tier 2 - Strong Draft Considers,role_usage_core,needs_data: nfl_depth_chart_rush_goal_line_first_down_role,manual_review,"rookie_warning=manual_review; manual_question=Does Demond Claiborne have a credible early-down, goal-line, or first-down role path?",LOUD_BADGE,manual_review|needs_data,NO
22,Lewis Bond,WR,HOU,66.2,Tier 2 - Strong Draft Considers,safe_no_snap_no_depth_rank,needs_data: nfl_depth_chart_target_earning_role,manual_review,rookie_warning=manual_review; manual_question=Does Lewis Bond have a credible target-earning path on his NFL depth chart?,LOUD_BADGE,manual_review|needs_data,NO
23,J'Mari Taylor,RB,JAX,65.05,Tier 2 - Strong Draft Considers,role_usage_core,needs_data: nfl_depth_chart_rush_goal_line_first_down_role,manual_review,"rookie_warning=manual_review; manual_question=Does J'Mari Taylor have a credible early-down, goal-line, or first-down role path?",LOUD_BADGE,manual_review|needs_data,NO
24,Eric McAlister,WR,FA,64.0,Tier 2 - Strong Draft Considers,safe_no_snap_no_depth_rank,needs_data: nfl_depth_chart_target_earning_role,soft_note,"rookie_warning=soft_note; manual_question=Does Eric McAlister have a credible target-earning path on his NFL depth chart, including route/separation evidence?",LOUD_BADGE,needs_data,NO
25,Kentrel Bullock,RB,CIN,64.0,Tier 2 - Strong Draft Considers,role_usage_core,needs_data: nfl_depth_chart_rush_goal_line_first_down_role,critical_trap_guard,"rookie_warning=critical_trap_guard; manual_question=Does Kentrel Bullock's NFL draft capital/role (unavailable; needs_data: nfl_depth_chart_rush_goal_line_first_down_role) actually support rank 24, or is this production profile a trap?",CRITICAL_BADGE,manual_review|needs_data|critical_trap_guard,NO
26,Kejon Owens,RB,MIN,61.0,Tier 2 - Strong Draft Considers,role_usage_core,needs_data: nfl_depth_chart_rush_goal_line_first_down_role,manual_review,"rookie_warning=manual_review; manual_question=Does Kejon Owens have a credible early-down, goal-line, or first-down role path?",LOUD_BADGE,manual_review|needs_data,NO
27,Sieh Bangura,RB,needs_data,60.0,Tier 2 - Strong Draft Considers,role_usage_core,needs_data: nfl_depth_chart_rush_goal_line_first_down_role,manual_review,"rookie_warning=manual_review; manual_question=Is Sieh Bangura's feature-driven rank move (+18) supported by NFL team, role, and draft-capital context?",LOUD_BADGE,manual_review|needs_data,NO
28,Chris Brazzell,WR,CAR,59.0,Tier 2 - Strong Draft Considers,safe_no_snap_no_depth_rank,needs_data: nfl_depth_chart_target_earning_role,soft_note,"rookie_warning=soft_note; manual_question=Does Chris Brazzell have a credible target-earning path on his NFL depth chart, including route/separation evidence?",LOUD_BADGE,needs_data,NO
29,Robert Henry Jr.,RB,WAS,58.0,Tier 2 - Strong Draft Considers,role_usage_core,needs_data: nfl_depth_chart_rush_goal_line_first_down_role,manual_review,"rookie_warning=manual_review; manual_question=Does Robert Henry Jr. have a credible early-down, goal-line, or first-down role path?",LOUD_BADGE,manual_review|needs_data,NO
30,Seth McGowan,RB,IND,57.0,Tier 2 - Strong Draft Considers,role_usage_core,needs_data: nfl_depth_chart_rush_goal_line_first_down_role,soft_note,"rookie_warning=soft_note; manual_question=Does Seth McGowan have a credible early-down, goal-line, or first-down role path?",LOUD_BADGE,needs_data,NO
