canonical_universe_id,source_row_ids,player_id,player_name,normalized_name,position,nfl_team,age,age_source,player_type,availability_status,rank_source,dynasty_rank,rookie_rank,frozen_baseline_rank,candidate_rank,unified_display_rank,unified_display_rank_source,tier,tier_source,outcome_context,outcome_status,market_match_status,dp_1qb_value,dp_market_rank,nwr_vs_market_gap,data_quality_status,manual_review_flag,review_status,consolidation_status,consolidation_confidence,conflict_flags,caveats,source_layers,source_files,app_wiring_allowed,model_input_allowed
consolidated-13274,rookie-13274,13274,Germie Bernard,germie bernard,WR,PIT,22.6,rookie verified age audit,ROOKIE,rookie_pool,ROOKIE_RANK,,7,,,7,ROOKIE_RANK,Tier 1 - Priority Targets,Rookie HQ,Not enough information,MISSING,MATCHED,316,149.1,-139.1,GREEN,false,READY,SINGLE_SOURCE,NOT_APPLICABLE,,"manual_question=Does Germie Bernard have a credible target-earning path on his NFL depth chart, including route/separation evidence? | gaps=career_yprr|final_season_yprr|targets_per_route_run|press_success_grade_or_notes|screen_touch_rate|first_downs_per_target|contested_target_rate|red_zone_target_share | do not draft at 1.03/1.04; keep verify-first or hold label visible | sleeper_match; dynastyprocess_crosswalk_candidate | Rookie/prospect has no fabricated veteran Dynasty Rank.",Rookie/Prospect Layer,docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_overlay_context.csv; docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_warning_cards.csv; docs/draft_day_exports/final_board_v1_20260622/FINAL_DRAFT_BOARD_V1_FROZEN.csv; docs/hq/parallel_lanes/age_source_audit_20260622/rookie_verified_age_display_20260622.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-13311,rookie-13311,13311,Chris Bell,chris bell,WR,MIA,22.0,rookie verified age audit,ROOKIE,rookie_pool,ROOKIE_RANK,,8,,,8,ROOKIE_RANK,Tier 1 - Priority Targets,Rookie HQ,Not enough information,MISSING,MATCHED,388,140.3,-129.3,GREEN,false,READY,SINGLE_SOURCE,NOT_APPLICABLE,,"rookie_warning=soft_note; manual_question=Does Chris Bell have a credible target-earning path on his NFL depth chart, including route/separation evidence? | Context note: context preserved as caution, but not a draft-room stop. | do not draft at 1.03/1.04; keep verify-first or hold label visible | sleeper_match; dynastyprocess_crosswalk_candidate | Rookie/prospect has no fabricated veteran Dynasty Rank.",Rookie/Prospect Layer,docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_overlay_context.csv; docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_warning_cards.csv; docs/draft_day_exports/final_board_v1_20260622/FINAL_DRAFT_BOARD_V1_FROZEN.csv; docs/hq/parallel_lanes/age_source_audit_20260622/rookie_verified_age_display_20260622.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-8130,veteran-8130,8130,Trey McBride,trey mcbride,TE,ARI,26.6,DynastyProcess display fallback,VETERAN,OTHER TEAM,FULL_DYNASTY_RANK,8,,,,8,FULL_DYNASTY_RANK,,Not enough information,Not enough information,MISSING,MATCHED,5412,28.2,-20.2,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"licensed_route_metrics_not_available|not_used_in_stats_first_value|te_upper_band_guard_v2_elite_exception|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | te upper band guard v2 elite exception | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate",Veteran Full Dynasty Layer,local_exports/model_v4/current_value/latest/full_player_board_value_review_rows.csv; docs/hq/parallel_lanes/dynastyprocess_market_baseline_20260622/dp_market_baseline_context.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-9226,veteran-9226,9226,De'Von Achane,devon achane,RB,MIA,24.7,DynastyProcess display fallback,VETERAN,MY TEAM,FULL_DYNASTY_RANK,9,,,,9,FULL_DYNASTY_RANK,,Not enough information,Not enough information,MISSING,MATCHED,6002,23.8,-14.8,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"licensed_route_metrics_not_available|not_used_in_stats_first_value|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate",Veteran Full Dynasty Layer,local_exports/model_v4/current_value/latest/full_player_board_value_review_rows.csv; docs/hq/parallel_lanes/dynastyprocess_market_baseline_20260622/dp_market_baseline_context.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-13320,rookie-13320,13320,Zachariah Branch,zachariah branch,WR,ATL,22.2,rookie verified age audit,ROOKIE,rookie_pool,ROOKIE_RANK,,9,,,9,ROOKIE_RANK,Tier 1 - Priority Targets,Rookie HQ,Not enough information,MISSING,MATCHED,129,187.3,-175.3,GREEN,false,READY,SINGLE_SOURCE,NOT_APPLICABLE,,"rookie_warning=soft_note; manual_question=Does Zachariah Branch have a credible target-earning path on his NFL depth chart, including route/separation evidence? | Context note: context preserved as caution, but not a draft-room stop. | do not draft at 1.03/1.04; keep verify-first or hold label visible | sleeper_match; dynastyprocess_crosswalk_candidate | Rookie/prospect has no fabricated veteran Dynasty Rank.",Rookie/Prospect Layer,docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_overlay_context.csv; docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_warning_cards.csv; docs/draft_day_exports/final_board_v1_20260622/FINAL_DRAFT_BOARD_V1_FROZEN.csv; docs/hq/parallel_lanes/age_source_audit_20260622/rookie_verified_age_display_20260622.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-13301,rookie-13301,13301,Antonio Williams,antonio williams,WR,WAS,21.9,rookie verified age audit,ROOKIE,rookie_pool,ROOKIE_RANK,,10,,,10,ROOKIE_RANK,Tier 2 - Strong Considers,Rookie HQ,Not enough information,MISSING,MATCHED,421,136.9,-120.9,GREEN,false,READY,SINGLE_SOURCE,NOT_APPLICABLE,,"rookie_warning=critical_trap_guard; manual_question=Does Antonio Williams's NFL draft capital/role (round=3; pick=71; needs_data: nfl_depth_chart_target_earning_role) actually support rank 10, or is this production profile a trap? | Critical trap guard: premium-window rank with high bust risk and no standout CFBD edge. | do not draft at 1.03/1.04; keep verify-first or hold label visible | sleeper_match; dynastyprocess_crosswalk_candidate | Rookie/prospect has no fabricated veteran Dynasty Rank.",Rookie/Prospect Layer,docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_overlay_context.csv; docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_warning_cards.csv; docs/draft_day_exports/final_board_v1_20260622/FINAL_DRAFT_BOARD_V1_FROZEN.csv; docs/hq/parallel_lanes/age_source_audit_20260622/rookie_verified_age_display_20260622.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-8137,veteran-8137,8137,George Pickens,george pickens,WR,DAL,25.3,DynastyProcess display fallback,VETERAN,OTHER TEAM,FULL_DYNASTY_RANK,10,,,,10,FULL_DYNASTY_RANK,,Not enough information,Not enough information,MISSING,MATCHED,5032,31.3,-21.3,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"licensed_route_metrics_not_available|not_used_in_stats_first_value|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence|rotowire_current_team_status_warning | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Current team/status was repaired from local RotoWire source context. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate",Veteran Full Dynasty Layer,local_exports/model_v4/current_value/latest/full_player_board_value_review_rows.csv; docs/hq/parallel_lanes/dynastyprocess_market_baseline_20260622/dp_market_baseline_context.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-8138,veteran-8138,8138,James Cook,james cook,RB,BUF,26.7,DynastyProcess display fallback,VETERAN,OTHER TEAM,FULL_DYNASTY_RANK,11,,,,11,FULL_DYNASTY_RANK,,Not enough information,Not enough information,MISSING,MATCHED,6625,19.6,-8.6,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"licensed_route_metrics_not_available|not_used_in_stats_first_value|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate",Veteran Full Dynasty Layer,local_exports/model_v4/current_value/latest/full_player_board_value_review_rows.csv; docs/hq/parallel_lanes/dynastyprocess_market_baseline_20260622/dp_market_baseline_context.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-13345,rookie-13345,13345,Jonah Coleman,jonah coleman,RB,DEN,22.8,rookie verified age audit,ROOKIE,rookie_pool,ROOKIE_RANK,,11,,,11,ROOKIE_RANK,Tier 2 - Strong Considers,Rookie HQ,Not enough information,MISSING,MATCHED,400,139.1,-125.1,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"rookie_warning=manual_review; manual_question=Is Jonah Coleman's feature-driven rank move (+24) supported by NFL team, role, and draft-capital context? | manual review before draft use | sleeper_match; dynastyprocess_crosswalk_candidate | Rookie/prospect has no fabricated veteran Dynasty Rank.",Rookie/Prospect Layer,docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_overlay_context.csv; docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_warning_cards.csv; docs/draft_day_exports/final_board_v1_20260622/FINAL_DRAFT_BOARD_V1_FROZEN.csv; docs/hq/parallel_lanes/age_source_audit_20260622/rookie_verified_age_display_20260622.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-13402,rookie-13402,13402,Skyler Bell,skyler bell,WR,BUF,24.0,rookie verified age audit,ROOKIE,rookie_pool,ROOKIE_RANK,,12,,,12,ROOKIE_RANK,Tier 2 - Strong Considers,Rookie HQ,Not enough information,MISSING,MATCHED,123,189.1,-174.1,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"rookie_warning=manual_review; manual_question=Does Skyler Bell have a credible target-earning path on his NFL depth chart, including route/separation evidence? | manual review before draft use | sleeper_match; dynastyprocess_crosswalk_candidate | Rookie/prospect has no fabricated veteran Dynasty Rank.",Rookie/Prospect Layer,docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_overlay_context.csv; docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_warning_cards.csv; docs/draft_day_exports/final_board_v1_20260622/FINAL_DRAFT_BOARD_V1_FROZEN.csv; docs/hq/parallel_lanes/age_source_audit_20260622/rookie_verified_age_display_20260622.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
